"email","phone","title","firstName","lastName","birthdate","age","ageRange","gender","address1","address2","city","state","postcode","countryCode","supplier_id","client_id","campaign_id","lead_status"
"krishnaerb8888@gmail.com","9876543238","Mr","Test","Krishna","10/11/2010","27","Oct-65","Male","KP","Hyd","Hyd","Telangana","W113DS","UK","29","1","56","Accepted"
"eraboina.krishna8888@gmail.com","02567890123","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506100","US","29","1","56","Invalid"
"ntnkumar@gmail.com","7894566541","Mr","nithin","kumar","05/04/2017","45","Nov-45","Male","AL","Hyd","Hyd","Telangana","500010","UK","29","1","56","Accepted"
"eraboina.krishna123@gmail.com","02567890127","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506700","US","29","1","56","Invalid"
"krishnaerb12@gmail.com","9176543238","Mr","Test","Krishna","10/11/2010","27","Oct-65","Male","KP","Hyd","Hyd","Telangana","W113DS","UK","29","1","56","Accepted"
"eraboina.krishna1@gmail.com","01567890123","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506100","US","29","1","56","Invalid"
"ntnkumar1@gmail.com","7194566541","Mr","nithin","kumar","05/04/2017","45","Nov-45","Male","AL","Hyd","Hyd","Telangana","500010","UK","29","1","56","Accepted"
"eraboina.krishna113@gmail.com","01567890127","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506700","US","29","1","56","Invalid"
"krishnaerb13@gmail.com","9276543238","Mr","Test","Krishna","10/11/2010","27","Oct-65","Male","KP","Hyd","Hyd","Telangana","W113DS","UK","29","1","56","Accepted"
"eraboina.krishna2@gmail.com","03567890123","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506100","US","29","1","56","Invalid"
"ntnkumar2@gmail.com","7294566541","Mr","nithin","kumar","05/04/2017","45","Nov-45","Male","AL","Hyd","Hyd","Telangana","500010","UK","29","1","56","Accepted"
"eraboina.krishna121@gmail.com","03567890127","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506700","US","29","1","56","Invalid"
"krishnaerb14@gmail.com","9376543238","Mr","Test","Krishna","10/11/2010","27","Oct-65","Male","KP","Hyd","Hyd","Telangana","W113DS","UK","29","1","56","Accepted"
"eraboina.krishna3@gmail.com","04567890123","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506100","US","29","1","56","Invalid"
"ntnkumar3@gmail.com","7394566541","Mr","nithin","kumar","05/04/2017","45","Nov-45","Male","AL","Hyd","Hyd","Telangana","500010","UK","29","1","56","Accepted"
"eraboina.krishna124@gmail.com","04567890127","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506700","US","29","1","56","Invalid"
"krishnaerb15@gmail.com","9476543238","Mr","Test","Krishna","10/11/2010","27","Oct-65","Male","KP","Hyd","Hyd","Telangana","W113DS","UK","29","1","56","Accepted"
"eraboina.krishna4@gmail.com","05567890123","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506100","US","29","1","56","Invalid"
"ntnkumar4@gmail.com","7494566541","Mr","nithin","kumar","05/04/2017","45","Nov-45","Male","AL","Hyd","Hyd","Telangana","500010","UK","29","1","56","Accepted"
"eraboina.krishna125@gmail.com","05567890127","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506700","US","29","1","56","Invalid"
"krishnaerb16@gmail.com","9576543238","Mr","Test","Krishna","10/11/2010","27","Oct-65","Male","KP","Hyd","Hyd","Telangana","W113DS","UK","29","1","56","Accepted"
"eraboina.krishna5@gmail.com","06567890123","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506100","US","29","1","56","Invalid"
"ntnkumar5@gmail.com","7594566541","Mr","nithin","kumar","05/04/2017","45","Nov-45","Male","AL","Hyd","Hyd","Telangana","500010","UK","29","1","56","Accepted"
"eraboina.krishna126@gmail.com","06567890127","Mr","Test2","Kumar","10/12/2010","30","Oct-70","Female","TG","Hyd","Hyd","Telangana","506700","US","29","1","56","Invalid"
